Date,Open,High,Low,Close
5/21/2004,341673.03,342050.99,337989.37,339338.33
5/24/2004,328677.5,334481.31,328530.93,330910.46
5/25/2004,331554.83,331554.83,309499.89,309492.34
5/26/2004,311490.64,313635.16,310603.59,311326.38
5/27/2004,310099.99,311851.97,307063.23,307181.63
5/28/2004,310339.44,311748.31,310271.42,310729.49
6/1/2004,312242.97,312747.46,311735.97,311705.56
6/2/2004,312402.89,313100.22,311618.39,311620.6
6/3/2004,313458.21,314231.94,312142.87,313460.36
6/4/2004,311347.01,315168.41,306676.42,313211.68
6/7/2004,310212.23,310558.32,304127.51,304105.26
6/8/2004,308009.32,308305.95,297321,297965.25
6/9/2004,295908.61,301316.81,289681.56,299777.22
6/10/2004,297901.83,299748.8,294274.99,294267.81
6/14/2004,297638.51,299596.91,294308.09,294279.39
6/15/2004,293118.74,293118.74,285153.36,288237.16
6/16/2004,287233.43,288237.16,284389.53,286066.59
6/17/2004,288358.48,289906.82,286154.07,286656.76
6/18/2004,286769.78,286943.66,282014.2,284609.14
6/21/2004,284246.4,288079.52,283987.31,288058.45
6/22/2004,288264.58,289552.94,280244.39,280237.56
6/23/2004,281176.87,282107.63,261366.06,265067.3
6/24/2004,267908.91,270589.35,266941.91,269540.66
6/25/2004,270071.33,272321.82,268740.43,272315.18
6/28/2004,270833.98,274331.96,270298.4,274283.2
6/29/2004,273335.22,273335.22,270002.67,269996.09
6/30/2004,269195.23,270062.14,262548.95,264055.32
7/1/2004,263916.16,268418.32,261615.97,267218.45
7/2/2004,266544.42,268363.5,265967.83,266499.27
7/6/2004,269551.92,275560.58,268843.13,274414.16
7/7/2004,273094.79,273430.63,267217.57,269084.21
7/8/2004,272304.2,274683.52,270139.03,274464.64
7/9/2004,272270.11,277406.4,272152.13,276638.89
7/12/2004,275103.7,278906.62,273186.65,275636.14
7/13/2004,274965.6,274965.6,271481.9,271708.88
7/14/2004,276046.96,276046.96,267660,270989.2
7/15/2004,269385.82,272243.1,266779.98,272236.46
7/16/2004,270002.33,275021.34,269017.46,274003.95
7/19/2004,276531.94,276601.14,273578.87,275296.05
7/20/2004,274259.85,274259.85,268329.14,268322.6
7/21/2004,266743.38,279434.52,265709.72,278920.81
7/22/2004,277432.13,277758.49,268814.98,269923.78
7/23/2004,272410.61,273209.13,267893.24,271016.57
7/26/2004,270443.14,275518.85,270346.62,272888.93
7/27/2004,269367.16,270452.52,263663.36,264747.44
7/28/2004,265169.28,267784.69,259741.59,260420.68
7/29/2004,258132.81,259078.16,253534.68,255474.24
7/30/2004,256801.88,257435.15,254184.5,254178.3
8/2/2004,255115.74,256152.44,249849.54,250396.35
8/3/2004,252284.87,252826.8,248453.09,250964.26
8/4/2004,253519.57,253954.52,248408.95,249826.66
8/5/2004,249767.21,258798.27,249767.21,257829.34
8/6/2004,266015.77,268210.28,262234.52,265035.5
8/9/2004,263272.92,264280.11,257015.49,259514.75
8/10/2004,257252.02,257572.22,249092.32,250190.84
8/11/2004,254125.41,256411.72,251174.49,252268.55
8/12/2004,255160.34,256659.19,250854.43,253273.7
8/13/2004,250790.62,252444.25,249321.91,249394.87
8/16/2004,250301.38,250301.38,242216.6,242398.13
8/17/2004,238787.38,239796.5,236227.8,238176.56
